observed_at_utc,source,underlying,symbol,option_type,expiry_utc,strike,maturity_days,maturity_years,underlying_price,market_price,bid_price,ask_price,last_price,mark_iv,mark_iv_binance,bid_iv,ask_iv,risk_free_rate,historical_volatility,historical_volatility_days,moneyness,close_to_close,german_klass,rogers_satchell
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-66500-P,put,2026-06-07T08:00:00+00:00,66500.0,0.5569785185185185,0.0015259685438863,60577.10652174,5923.887,5405.0,6535.0,0.0,0.82,0.82,6e-07,2.57968903,0.0006,0.42948871515171144,365,0.9109339326577444,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-67000-P,put,2026-06-07T08:00:00+00:00,67000.0,0.5569785185185185,0.0015259685438863,60577.10652174,6423.628,5860.0,7080.0,6215.0,0.858,0.858,6e-07,2.77667999,0.0006,0.42948871515171144,365,0.9041359182349256,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-56000-C,call,2026-06-08T08:00:00+00:00,56000.0,1.5569785185185183,0.0042656945712836,60577.10652174,4685.674,4050.0,5205.0,0.0,0.839,0.839,6e-07,1.44922256,0.0,0.42948871515171144,365,1.0817340450310715,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-57000-C,call,2026-06-08T08:00:00+00:00,57000.0,1.5569785185185183,0.0042656945712836,60577.10652174,3744.578,3255.0,4160.0,0.0,0.777,0.777,6e-07,1.20560646,0.0,0.42948871515171144,365,1.0627562547673686,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-58000-C,call,2026-06-08T08:00:00+00:00,58000.0,1.5569785185185183,0.0042656945712836,60577.10652174,2843.647,2340.0,3100.0,2100.0,0.719,0.719,6e-07,0.94846725,0.0,0.42948871515171144,365,1.0444328710644828,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-59000-C,call,2026-06-08T08:00:00+00:00,59000.0,1.5569785185185183,0.0042656945712836,60577.10652174,2011.09,1910.0,2105.0,2665.0,0.666,0.666,0.58601141,0.73719978,0.0,0.42948871515171144,365,1.0267306190125425,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-59500-C,call,2026-06-08T08:00:00+00:00,59500.0,1.5569785185185183,0.0042656945712836,60577.10652174,1631.898,1625.0,1655.0,1695.0,0.641,0.641,0.63265085,0.65715551,0.0,0.42948871515171144,365,1.018102630617479,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-60000-C,call,2026-06-08T08:00:00+00:00,60000.0,1.5569785185185183,0.0042656945712836,60577.10652174,1286.448,1280.0,1310.0,1255.0,0.618,0.618,0.61377525,0.63341379,0.0,0.42948871515171144,365,1.009618442029,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-60500-C,call,2026-06-08T08:00:00+00:00,60500.0,1.5569785185185183,0.0042656945712836,60577.10652174,979.117,985.0,1000.0,925.0,0.596,0.596,0.5997324,0.60924768,0.0,0.42948871515171144,365,1.0012744879626447,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260608-61000-C,call,2026-06-08T08:00:00+00:00,61000.0,1.5569785185185183,0.0042656945712836,60577.10652174,725.714,735.0,740.0,715.0,0.582,0.582,0.58796167,0.59117079,0.0,0.42948871515171144,365,0.9930673200285246,0.42948871515171144,0.4597891785772359,0.46394739697642895
